state,county,Assessor / Appraser,Treasurer / Tax / Tax collector,Mapping / Gis,Recorder / County clerk,Board of taxation,"Register of Deeds / Historic Aerials
",N,RA,AP,TX,R,example,,Appraser Property info,Appraser Example,Parcel Map,Tax (Treasurer),,Parcel datasets,Something,,Records,Death Certificates
az_,apache,https://www.apachecountyaz.gov/eagleweb,https://eagletreasurer.co.apache.az.us:8443/treasurer/treasurerweb/search.jsp?guest=true,https://apache-co.maps.arcgis.com/apps/webappviewer/index.html?id=2fdb74d76b734d4c98869038eae12aea,https://eaglerecorder.co.apache.az.us/web/user/disclaimer,,,1,RA,,,,,,,,https://apache-co.maps.arcgis.com/apps/webappviewer/index.html?id=2fdb74d76b734d4c98869038eae12aea,,,,,,https://eaglerecorder.co.apache.az.us/web/,https://eaglerecorder.co.apache.az.us/web/
az_,cochise,https://asr.cochise.gov/disclaimer.html,https://parcelinquiry.azurewebsites.us/,https://gis-cochise.opendata.arcgis.com/,https://www.thecountyrecorder.com/Introduction.aspx,,,2,,,,,,,,,,,,,,,,
az_,coconino,https://www.coconino.az.gov/121/Maps-Property-Information,https://www.coconino.az.gov/372/Treasurer,https://coconinocounty.maps.arcgis.com/apps/webappviewer/index.html?id=868170827e4443d2be37eb60562446ae,https://eagleassessor.coconino.az.gov:8443/recorder/web/,,,3,RA,,,,R0050197,10035015,https://eagleassessor.coconino.az.gov:444/assessor/taxweb/results.jsp,,https://coconinocounty.maps.arcgis.com/apps/webappviewer/index.html?id=868170827e4443d2be37eb60562446ae,https://eagleassessor.coconino.az.gov/treasurer/treasurerweb/account.jsp?account=R0050197,,,,,,
az_,gila,https://assessor.gilacountyaz.gov/assessor/web/,https://taxes.gilacountyaz.gov/treasurer2/web/,https://gilacountyaz.maps.arcgis.com/apps/webappviewer/index.html?id=bca47d05176246979c3301f0d641110b,https://recorder.gilacountyaz.gov/recorder/web/,,,4,,,,,,,,,,,,,,,,
az_,graham,https://www.graham.az.gov/491/Parcel-Info-Search,https://gcwebinfo.graham.az.gov/WebPayments/PropertyInformation,https://www.graham.az.gov/491/Parcel-Info-Search,https://www.thecountyrecorder.com/Introduction.aspx,,,5,,,,,,,,,,,,,,,,
az_,greenlee,https://www.co.greenlee.az.us/elected-officials/assessor,https://www.paydici.com/greenlee-county-treasurer-az/search/new,https://map.netronline.com/arizona-greenlee/04011,https://www.thecountyrecorder.com/Introduction.aspx,,,6,,,,,,,,,,,,,,,,
az_,lapaz,http://24.121.225.10/assessor/web/,https://act.lapaztreasurer.com/treasurer/web/,https://map.netronline.com/arizona-la_paz/04012,https://www.thecountyrecorder.com/Introduction.aspx,,,7,,,,,,,,,,,,,,,,
az_,maricopa,https://mcassessor.maricopa.gov/,https://treasurer.maricopa.gov/,https://maps.mcassessor.maricopa.gov/,https://recorder.maricopa.gov/recdocdata/,,,8,RA,,,,,,,,https://mcassessor.maricopa.gov/mcs/?q=john,https://treasurer.maricopa.gov/Parcel/ParcelSearch.aspx,,,,,https://recorder.maricopa.gov/recdocdata/,
az_,navajo,https://navajocountyaz.gov/Departments/Assessor,https://www.navajocountyaz.gov/442/Treasurer,https://apps.navajocountyaz.gov/webmap/WebMap.aspx,http://www.thecountyrecorder.com/Introduction.aspx?CountyKey=4,,,9,RA,,,,,,https://apps.navajocountyaz.gov/NavajoWebPayments/PropertyInformation,,https://apps.navajocountyaz.gov/webmap/WebMap.aspx,,,,,,https://www.thecountyrecorder.com/Results.aspx,
az_,pima,https://www.asr.pima.gov/,https://www.to.pima.gov/,https://gis.pima.gov/maps/landbase/parsrch.htm,https://www.recorder.pima.gov/PublicDocServices/Search,,,10,RA,,,,993420000,,https://www.asr.pima.gov/Parcel/Index,,,,,https://www.asr.pima.gov/Download#/layoutModal,,,,
